PackageName,Total Lines,Total Words,Total Tokens,Total URLs,Total Base64,Total IPs,Bracket Mean,Bracket Std Dev,Bracket Max,Bracket Q3,Equal Mean,Equal Std Dev,Equal Max,Equal Q3,Plus Mean,Plus Std Dev,Plus Max,Plus Q3,Identifier Entropy Mean,Identifier Entropy Std Dev,Identifier Entropy Max,Identifier Entropy Q3,String Entropy Mean,String Entropy Std Dev,String Entropy Max,String Entropy Q3,Homogeneous Identifiers,Heterogeneous Identifiers,Homogeneous Strings,Heterogeneous Strings,Setup Total Lines,Setup Total Words,Setup Total Tokens,Setup Total URLs,Setup Total Base64,Setup Total IPs,Setup Identifier Entropy Mean,Setup Identifier Entropy Std Dev,Setup Identifier Entropy Max,Setup Identifier Entropy Q3,Setup String Entropy Mean,Setup String Entropy Std Dev,Setup String Entropy Max,Setup String Entropy Q3,Setup Homogeneous Identifiers,Setup Heterogeneous Identifiers,Setup Homogeneous Strings,Setup Heterogeneous Strings,Total Install Script in .py,Total Dangerous Install Commands Count,BAT Count,BZ2 Count,C Count,CERT Count,CONF Count,CPP Count,CRT Count,CSS Count,CSV Count,DEB Count,ERB Count,GEMSPEC Count,GIF Count,GZ Count,H Count,HTML Count,ICO Count,INI Count,JAR Count,JAVA Count,JPG Count,JS Count,JSON Count,KEY Count,M4V Count,MARKDOWN Count,MD Count,PDF Count,PEM Count,PNG Count,PS Count,PY Count,RB Count,RPM Count,RST Count,SH Count,SVG Count,TOML Count,TTF Count,TXT Count,XML Count,YAML Count,YML Count,EOT Count,EXE Count,JPEG Count,PROPERTIES Count,SQL Count,SWF Count,TAR Count,WOFF Count,WOFF2 Count,AAC Count,BMP Count,CFG Count,DCM Count,DLL Count,DOC Count,FLAC Count,FLV Count,IPYNB Count,M4A Count,MID Count,MKV Count,MP3 Count,MP4 Count,MPG Count,OGG Count,OTF Count,PICKLE Count,PKL Count,PSD Count,PXD Count,PXI Count,PYC Count,PYX Count,R Count,RTF Count,SO Count,SQLITE Count,TIF Count,TP Count,WAV Count,WEBP Count,WHL Count,XCF Count,XZ Count,ZIP Count,MOV Count,WASM Count,WEBM Count
a2wsgi-1.10.8,1844,6615,66,30,141,4,34.92307692307692,42.328992307207,156,42.0,33.92307692307692,43.51333423687797,117,82.0,0.7692307692307693,1.4806443503784736,5,1.5,2.080842094003866,0.7505828959205603,4.1162646156680225,2.584962500721156,2.403568113530667,1.138461364599526,4.163856189774723,3.2516291673878226,6747,559,198,411,8,22,0,0,0,0,2.429834848774723,0.7421216848507562,3.521640636343319,2.985926350629033,3.3866349018655706,0.19092694069657248,3.521640636343319,3.521640636343319,16,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abcli-9.538.1,8769,17473,368,110,274,0,12.668341708542714,19.58407291353475,104,16.0,9.195979899497488,12.501991110897803,93,12.0,0.3316582914572864,1.159306987267117,11,0.0,2.170946598377341,0.7792939257015382,4.103465189601645,2.725480556997868,2.7309598279480314,1.0899183980138034,4.951857813644399,3.521640636343319,14878,3528,612,1921,288,470,3,1,7,0,2.1598292968004573,0.7315812174148264,3.7254805569978675,2.584962500721156,2.7136945751798978,1.1378718009664366,4.080544471749635,3.6750512095463086,430,74,18,80,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,93,0,0,0,78,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aboutcode_toolkit-11.0.0,35219,166437,1038,753,1821,8,6.852097130242826,31.919183433082882,308,0.0,23.637969094922738,92.14213994361333,862,1.0,0.977924944812362,5.916786388855474,81,0.0,1.9878500243671016,0.8053042335339612,4.109595923232875,2.584962500721156,2.5058470174621226,1.3146474366990084,6.053098801040887,3.418295834054489,167482,14831,2150,6430,122,429,4,4,21,0,1.8004114045692754,0.8789338914477932,3.481714572986072,2.521640636343318,2.125814583693911,0.1779286906042542,2.2516291673878226,2.2516291673878226,402,19,16,42,0,7,3,0,4,0,0,0,0,1,34,0,0,0,0,2,0,10,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,36,0,0,11,3,0,1,0,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,0
absl-py-2.1.0,13583,53830,109,72,1085,0,65.97142857142858,129.89237303024598,600,61.0,72.74285714285715,119.6075304675162,502,95.0,5.314285714285714,9.931445687581348,38,6.0,2.031542026260585,0.7856744640163459,4.241729296672175,2.584962500721156,1.6965986228805903,1.6336002695132963,4.8361904563405655,3.3473817657782354,51365,5607,545,2141,1904,6842,10,9,157,0,2.045482001416134,0.7825249971554417,4.241729296672175,2.584962500721156,2.82045744020307,1.0363743563556846,4.2374411389168944,3.940445769124325,6395,714,111,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accelerate-1.3.0,40771,153301,636,308,2086,4,66.08620689655173,128.74103220540584,815,63.5,117.5,175.19646115147418,950,133.75,4.75,9.238741679800716,70,6.0,2.1590970172234516,0.8252295671177815,4.1852301329094015,2.75,2.4253075896224123,1.4225550848432336,5.085292288547262,3.577819531114783,138008,28476,2741,6675,604,1859,15,11,12,0,2.2772035563428727,0.8510256750324128,4.111698692943855,2.845350936622437,1.939277407134615,0.0344264742181786,2.0,1.9609640474436811,1446,301,44,59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,105,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
accesscontrol-7.2,16492,49258,182,121,948,12,15.866666666666667,31.183112687060806,214,16.5,37.51111111111111,72.10373994016054,538,41.0,1.3444444444444446,3.4156319799887105,23,1.0,2.103074026479625,0.861054267962123,4.20184123230257,2.75,2.0707907279942246,1.4006984948393402,4.563532262755956,3.2504072918469555,46082,5280,1095,2007,193,590,3,3,8,0,2.323238844209014,0.8236909065248904,3.969815782426811,2.9219280948873623,2.1477574646488344,1.0864201485822662,4.047160074632759,3.141328553603375,538,41,33,58,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,58,0,0,5,2,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acme-3.2.0,8322,25630,110,97,717,14,11.160919540229886,30.68363459081654,170,4.0,28.160919540229884,72.86206681490694,518,16.0,4.183908045977011,8.084623268080893,52,5.0,2.1799702857464838,0.7890956648499885,5.351409765557392,2.584962500721156,2.079215656527633,1.54083583633682,5.036616208140156,3.4841837197791885,27387,4304,683,1496,86,263,3,3,12,0,2.219443853306332,0.7350651499717399,3.640223928941852,2.7219280948873625,0.875,1.0307764064044151,2.0,1.875,230,18,9,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acquisition-6.1,9643,30924,73,70,150,0,12.857142857142858,35.59204476836995,190,13.0,51.57142857142857,118.48438827352008,536,31.25,1.7857142857142858,6.057484766231087,32,1.0,1.921067323213889,0.920076506204222,4.3073549220576055,2.584962500721156,1.8733433494868792,1.2468298872549475,4.2704265780462904,2.751629167387823,27435,3540,526,664,987,3190,1,1,21,0,2.067751836848203,0.7511576758594345,3.8402655651949265,2.584962500721156,2.8559130951758247,0.4723261170371258,3.1898980954642875,3.1898980954642875,2729,588,31,181,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2,2,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acryl_datahub-1.0.0rc4,256161,705672,1562,717,31730,62,53.91933916423712,361.5782152512924,10938,40.0,66.73760932944606,419.8613134403444,8218,47.5,1.2526724975704568,3.6080197569805983,51,1.0,2.262288420898451,0.7853388047295827,4.3275671571169285,2.807354922057604,2.5539255418622324,1.1263372934095224,5.180122709878775,3.3927474104487847,682958,109371,69265,38073,2941,8792,38,37,72,10,2.471567061467125,0.7891860091439478,4.2339466645252255,2.9559130951758243,2.0282858962638017,1.4107171867859365,4.583651244540521,3.5744995434068816,7547,1146,194,418,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,795,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adafruit_blinka-8.53.0,32250,109122,158,117,2002,0,3.051111111111111,11.306405189858014,106,0.0,38.50666666666667,49.48317479682638,317,53.0,1.288888888888889,6.23883313222668,87,0.0,2.02108737320116,0.7911021455864246,4.32316116739216,2.584962500721156,1.7907792072592426,1.6967092843436802,4.986141690574383,3.5368867237421666,75660,30544,325,4312,788,2654,2,2,128,0,2.2907621306686123,0.723480693247966,3.75,2.807354922057604,1.060038762964526,1.5949980178055885,4.405932127238674,2.721928094887362,2386,495,27,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,396,0,0,4,3,0,0,0,9,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
