PackageName,Total Lines,Total Words,Total Tokens,Total URLs,Total Base64,Total IPs,Bracket Mean,Bracket Std Dev,Bracket Max,Bracket Q3,Equal Mean,Equal Std Dev,Equal Max,Equal Q3,Plus Mean,Plus Std Dev,Plus Max,Plus Q3,Identifier Entropy Mean,Identifier Entropy Std Dev,Identifier Entropy Max,Identifier Entropy Q3,String Entropy Mean,String Entropy Std Dev,String Entropy Max,String Entropy Q3,Homogeneous Identifiers,Heterogeneous Identifiers,Homogeneous Strings,Heterogeneous Strings,Setup Total Lines,Setup Total Words,Setup Total Tokens,Setup Total URLs,Setup Total Base64,Setup Total IPs,Setup Identifier Entropy Mean,Setup Identifier Entropy Std Dev,Setup Identifier Entropy Max,Setup Identifier Entropy Q3,Setup String Entropy Mean,Setup String Entropy Std Dev,Setup String Entropy Max,Setup String Entropy Q3,Setup Homogeneous Identifiers,Setup Heterogeneous Identifiers,Setup Homogeneous Strings,Setup Heterogeneous Strings,Total Install Script in .py,Total Dangerous Install Commands Count,BAT Count,BZ2 Count,C Count,CERT Count,CONF Count,CPP Count,CRT Count,CSS Count,CSV Count,DEB Count,ERB Count,GEMSPEC Count,GIF Count,GZ Count,H Count,HTML Count,ICO Count,INI Count,JAR Count,JAVA Count,JPG Count,JS Count,JSON Count,KEY Count,M4V Count,MARKDOWN Count,MD Count,PDF Count,PEM Count,PNG Count,PS Count,PY Count,RB Count,RPM Count,RST Count,SH Count,SVG Count,TOML Count,TTF Count,TXT Count,XML Count,YAML Count,YML Count,EOT Count,EXE Count,JPEG Count,PROPERTIES Count,SQL Count,SWF Count,TAR Count,WOFF Count,WOFF2 Count,AAC Count,BMP Count,CFG Count,DCM Count,DLL Count,DOC Count,FLAC Count,FLV Count,IPYNB Count,M4A Count,MID Count,MKV Count,MP3 Count,MP4 Count,MPG Count,OGG Count,OTF Count,PICKLE Count,PKL Count,PSD Count,PXD Count,PXI Count,PYC Count,PYX Count,R Count,RTF Count,SO Count,SQLITE Count,TIF Count,TP Count,WAV Count,WEBP Count,WHL Count,XCF Count,XZ Count,ZIP Count,MOV Count,WASM Count,WEBM Count
2022-11-07-beautifulsup4-0.1,68,190,4,0,2,0,28,48.49742261192856,84,84,12.666666666666666,21.93931022920578,38,38,5.333333333333333,9.237604307034012,16,16,2.329527194374205,0.815744196153476,4.6534955617749425,2.94770277922009,1.9808725923779047,1.7983992006893381,5.126894136489706,3.584962500721156,287,110,30,49,58,170,4,0,2,0,2.324489157875233,0.832417120228959,4.6534955617749425,2.94770277922009,1.584962500721156,0.0,1.584962500721156,1.584962500721156,267,109,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-07-djangoo-0.1,68,190,4,0,2,0,28,48.49742261192856,84,84,12.666666666666666,21.93931022920578,38,38,5.333333333333333,9.237604307034012,16,16,2.3233833265804393,0.8111882244642936,4.6534955617749425,2.94770277922009,1.960289339094151,1.787264423388024,5.126894136489706,3.584962500721156,290,107,32,47,58,170,4,0,2,0,2.320164484977849,0.8292552254071286,4.6534955617749425,2.94770277922009,1.584962500721156,0.0,1.584962500721156,1.584962500721156,269,107,32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-07-pyautogiu-0.1,68,190,4,0,2,0,28,48.49742261192856,84,84,12.666666666666666,21.93931022920578,38,38,5.333333333333333,9.237604307034012,16,16,2.326602939750793,0.8128167137968979,4.6534955617749425,2.94770277922009,1.9710757224581197,1.7919587120246494,5.126894136489706,3.584962500721156,290,107,32,47,58,170,4,0,2,0,2.3224307729718743,0.83038718360002,4.6534955617749425,2.94770277922009,1.584962500721156,0.0,1.584962500721156,1.584962500721156,269,107,32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-07-pygaem-0.1,68,190,4,0,2,0,28,48.49742261192856,84,84,12.666666666666666,21.93931022920578,38,38,5.333333333333333,9.237604307034012,16,16,2.3238618293339246,0.8113240379953643,4.6534955617749425,2.94770277922009,1.9618924242682734,1.7878023353054722,5.126894136489706,3.584962500721156,290,107,32,47,58,170,4,0,2,0,2.3205013034053907,0.8293500971525256,4.6534955617749425,2.94770277922009,1.584962500721156,0.0,1.584962500721156,1.584962500721156,269,107,32,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-07-python-dateuti-0.1,68,190,4,0,2,0,28,48.49742261192856,84,84,12.666666666666666,21.93931022920578,38,38,5.333333333333333,9.237604307034012,16,16,2.3253451703864947,0.8084487455871914,4.6534955617749425,2.94770277922009,1.984240717932915,1.8010881537033272,5.126894136489706,3.584962500721156,293,107,30,49,58,170,4,0,2,0,2.3215655326801943,0.8272763464230691,4.6534955617749425,2.94770277922009,1.584962500721156,0.0,1.584962500721156,1.584962500721156,271,107,30,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-17-ld-impl-linux-64,371,1633,22,19,13,0,2.7142857142857144,6.354024423436408,24,4.0,3.9285714285714284,12.15581080239966,46,1.5,1,3.7416573867739413,14,0.0,2.1028881018494436,0.7416219011072901,3.640223928941852,2.7219280948873625,2.6771123465964,1.099765835120468,4.189561096343498,3.5142656159759187,1580,79,31,50,248,1168,19,16,11,0,2.066506838346759,0.7474637020024479,3.640223928941852,2.584962500721156,2.521640636343318,0,2.521640636343318,2.521640636343318,1112,62,27,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-20-SentinelOne-1.0.8,77,231,1,0,0,0,0.6666666666666666,1.0327955589886446,2,2.0,5.5,10.653637876331258,27,9.75,0,0.0,0,0.0,1.3876076786785843,1.1924358110960618,3.640223928941851,2.5219280948873624,2.3138978588808015,0.9825834192019208,3.3927474104487847,2.836591668108979,334,20,3,6,10,13,0,0,0,0,2.6380310894590697,0.5134267697898717,3.640223928941851,2.7859982152650438,2.59490661824394,0,2.59490661824394,2.59490661824394,10,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-25-esqultracc-v5.17,456,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.727272727272727,15.849863779168004,34,34.0,0,0.0,0,0.0,1.9481493739287679,0.9878450081817389,4.2095221415144195,2.7321588913645702,3.2399379818992213,0.9797118561298627,4.875348256603208,3.9553113166340124,2908,86,50,201,35,135,0,0,2,0,2.403605463637852,0.7077116814384317,4.2095221415144195,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,100,3,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-citscapesscripts-v11.0.0,52,286,8,8,47,0,1,2.5385910352879693,8,0.5,1.4,3.777124126457412,12,0.5,0,0.0,0,0.0,2.402500437238292,0.7498216195594707,3.884183719779189,2.884682807695143,2.7607746802275845,1.0429773780781746,4.858046306452452,3.459431618637298,248,101,56,122,24,42,1,1,3,0,2.3838560852351587,0.6145472704731295,3.5068905956085183,2.725480556997868,2.521640636343318,0,2.521640636343318,2.521640636343318,63,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-dasdhaiusd1212-v1.0.117,214,795,14,13,57,0,3.7333333333333334,8.344944292090585,32,4.0,4.2,11.027239001672177,40,1.0,0.5333333333333333,2.0655911179772892,8,0.0,2.0477496950783856,0.8965355407289766,3.884183719779189,2.584962500721156,2.6546235210585025,1.1122051251458063,5.151148779710723,3.4234023444260835,786,158,69,181,52,103,1,1,11,0,2.2046717307138053,0.7484103006770543,3.625,2.584962500721156,2.521640636343318,0.0,2.521640636343318,2.521640636343318,132,21,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-esqcandysplitpep-v8.82,459,2085,129,129,34,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9704340295757432,1.0151098875407474,4.175070520364181,2.75,3.242347568069274,0.9912863096365887,4.874283367223414,3.9900097040407405,2908,95,50,201,36,135,0,0,3,0,2.419470599413371,0.719598303833339,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,100,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-esqccstudyhacked-v2.4,459,2085,129,129,34,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9624833112117368,1.0049562462090202,4.175070520364181,2.75,3.245569542161449,0.9933007332113131,4.903382278974978,3.9553113166340124,2908,93,50,201,36,135,0,0,3,0,2.418268676336448,0.7179580982128626,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,100,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-esqcontrolgrandsplit-v2.94,459,2085,129,129,34,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9829072947151933,1.038238826652406,4.175070520364181,2.7321588913645702,3.255424436441105,0.988052609493908,4.860411513426513,3.9900097040407405,2910,87,50,201,36,135,0,0,3,0,2.4220581817573383,0.7238216149448488,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,100,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-esqcontrolhttphttp-v5.22,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9547733766120017,0.9940009917778598,4.175070520364181,2.75,3.2090127575264784,0.967409925507615,4.836951017570114,3.8201087228989907,2908,91,50,201,36,135,0,0,2,0,2.416958985092569,0.7164053522928111,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,100,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-esqcpugrandpong-v1.41,459,2085,129,129,31,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9696486725637758,1.0173153260328816,4.175070520364181,2.7321588913645702,3.250374358090709,1.0046409451315161,4.878698143112931,3.9900097040407405,2908,85,50,201,36,135,0,0,2,0,2.4199905134950415,0.720371271359362,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,100,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-27-esqcpustudyhydra-v1.64,459,2085,129,129,34,0,2.3636363636363638,3.668043818514912,10,4.0,14.818181818181818,15.829202012850692,34,34.0,0.09090909090909091,0.30151134457776363,1,0.0,1.9728820339859454,1.0188920234896606,4.175070520364181,2.75,3.254230535904494,0.9880064348578174,4.896719733621821,3.9900097040407405,2908,91,50,201,36,135,0,0,3,0,2.4199242577680367,0.7202706436566088,4.150742409379382,2.9139770731827523,4.007942895581381,0,4.007942895581381,4.007942895581381,100,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
